"id","rank","name","pos","team","gp","mpg","fg_percent","ft_percent","threepm","pts","treb","ast","stl","blk","turnovers","total","last_modified"
28,28,Chris Paul,PG,OKC,64,29.0,0.43,0.88,2.0,15.5,3.8,7.7,1.6,0.3,2.6,5.01,2019-10-18 14:56:16
29,29,Zion Williamson,PF,NOP,70,32.0,0.54,0.69,0.9,19.6,8.6,2.7,1.6,0.9,2.4,4.88,2019-10-18 14:56:16
30,30,Draymond Green,"PF,C",GSW,74,33.0,0.45,0.69,1.0,10.3,7.7,7.6,1.5,1.2,2.7,4.72,2019-10-18 14:56:16
31,31,LaMarcus Aldridge,"PF,C",SAS,76,33.0,0.51,0.85,0.1,20.8,8.9,2.1,0.5,1.2,1.8,4.67,2019-10-18 14:56:16
32,32,Pascal Siakam,PF,TOR,78,34.0,0.52,0.79,1.1,18.8,7.7,3.5,1.0,0.7,2.0,4.65,2019-10-18 14:56:16
33,33,Robert Covington,"SF,PF",MIN,66,33.0,0.44,0.76,2.4,13.5,5.5,1.3,2.0,1.3,1.2,4.63,2019-10-18 14:56:16
34,34,Buddy Hield,SG,SAC,80,32.0,0.46,0.88,3.5,21.8,5.3,2.6,0.8,0.4,1.8,4.61,2019-10-18 14:56:16
35,35,Otto Porter Jr,"SF,PF",CHI,76,33.0,0.47,0.80,2.2,16.9,5.7,2.6,1.5,0.7,1.3,4.60,2019-10-18 14:56:16
36,36,D'Angelo Russell,"PG,SG",GSW,78,33.0,0.45,0.79,3.3,21.6,4.2,5.2,1.3,0.2,2.8,4.60,2019-10-18 14:56:16
37,37,Khris Middleton,"SG,SF",MIL,76,32.0,0.45,0.83,2.5,19.9,6.4,4.6,1.3,0.1,2.4,4.59,2019-10-18 14:56:16
38,38,Clint Capela,"PF,C",HOU,72,34.0,0.65,0.66,0.0,15.8,11.1,1.5,0.7,1.8,1.4,4.59,2019-10-18 14:56:16
39,39,Kyle Lowry,PG,TOR,68,32.0,0.43,0.83,2.5,16.3,4.7,7.1,1.3,0.5,2.7,4.56,2019-10-18 14:56:16
40,40,Ben Simmons,PG,PHI,78,34.0,0.55,0.63,0.0,17.8,8.8,8.7,1.5,0.9,3.5,4.55,2019-10-18 14:56:16
41,41,Kristaps Porzingis,"PF,C",DAL,62,30.0,0.45,0.80,1.9,19.9,7.6,1.2,0.7,1.9,1.8,4.54,2019-10-18 14:56:16
42,42,Zach LaVine,"PG,SG",CHI,68,34.0,0.46,0.84,2.0,23.6,4.8,4.7,1.0,0.4,3.4,4.52,2019-10-18 14:56:16
43,43,Kevin Love,"PF,C",CLE,60,28.0,0.44,0.91,2.6,18.2,9.2,2.4,0.3,0.3,2.0,4.51,2019-10-18 14:56:16
44,44,Tobias Harris,"SF,PF",PHI,80,34.0,0.47,0.87,2.0,19.4,8.0,2.9,0.8,0.5,1.8,4.50,2019-10-18 14:56:16
45,45,Danilo Gallinari,"SF,PF",OKC,68,30.0,0.45,0.90,2.2,20.1,6.4,2.3,0.7,0.3,1.7,4.49,2019-10-18 14:56:16
46,46,Luka Doncic,PG,DAL,74,34.0,0.44,0.74,2.6,23.5,8.3,6.7,1.2,0.3,3.6,4.45,2019-10-18 14:56:16
47,47,Bam Adebayo,"PF,C",MIA,80,30.0,0.55,0.73,0.0,14.4,10.1,3.0,1.2,1.3,1.9,4.34,2019-10-18 14:56:16
48,48,Donovan Mitchell,"PG,SG",UTA,78,34.0,0.44,0.81,2.6,25.2,4.3,3.8,1.4,0.4,2.8,4.32,2019-10-18 14:56:16
49,49,De'Aaron Fox,PG,SAC,78,32.0,0.46,0.73,1.3,19.0,4.2,7.9,1.6,0.7,2.9,4.32,2019-10-18 14:56:16
50,50,Victor Oladipo,"PG,SG",IND,50,30.0,0.44,0.78,2.1,19.4,5.5,5.1,1.6,0.3,2.2,4.24,2019-10-18 14:56:16
51,51,Eric Bledsoe,"PG,SG",MIL,76,30.0,0.48,0.78,1.7,15.3,5.1,6.0,1.5,0.4,2.2,4.22,2019-10-18 14:56:16
52,52,Thomas Bryant,C,WAS,76,30.0,0.56,0.79,0.8,15.1,9.5,2.0,0.4,1.4,1.2,4.18,2019-10-18 14:56:16
53,53,Jaren Jackson Jr,"PF,C",MEM,70,31.0,0.49,0.77,1.1,17.1,7.2,1.4,1.1,1.8,2.1,4.15,2019-10-18 14:56:16
54,54,Jonas Valanciunas,C,MEM,72,28.0,0.55,0.80,0.4,16.5,9.7,1.8,0.5,1.5,2.4,4.09,2019-10-18 14:56:16
55,55,DeMar DeRozan,"SG,SF",SAS,76,33.0,0.47,0.82,0.4,21.4,6.0,5.2,1.1,0.5,2.5,4.05,2019-10-18 14:56:16
56,56,Al Horford,"PF,C",PHI,70,28.0,0.50,0.86,1.1,12.8,6.9,3.8,0.9,1.3,1.4,4.00,2019-10-18 14:56:16
57,57,Josh Richardson,"SG,SF",PHI,75,33.0,0.45,0.84,2.4,15.3,3.6,2.8,1.5,0.9,1.4,3.98,2019-10-18 14:56:16
58,58,Brook Lopez,C,MIL,76,28.0,0.45,0.88,2.4,12.9,5.0,1.2,0.6,2.3,1.0,3.94,2019-10-18 14:56:16
59,59,Malcolm Brogdon,"PG,SG",IND,70,32.0,0.49,0.93,1.9,17.4,4.6,4.9,0.8,0.2,1.8,3.90,2019-10-18 14:56:16
60,60,Derrick Favors,"PF,C",NOP,76,30.0,0.53,0.70,0.3,16.1,9.9,1.6,0.9,1.8,1.7,3.82,2019-10-18 14:56:16
61,61,Lauri Markkanen,PF,CHI,68,32.0,0.43,0.85,2.4,19.6,9.5,1.5,0.7,0.6,1.6,3.76,2019-10-18 14:56:16
62,62,Lonzo Ball,PG,NOP,66,31.0,0.44,0.57,1.7,12.1,5.7,8.5,1.7,0.4,2.3,3.76,2019-10-18 14:56:16
63,63,CJ McCollum,"PG,SG",POR,76,34.0,0.47,0.86,2.5,22.3,4.3,3.2,0.8,0.4,1.5,3.53,2019-10-18 14:56:16
64,64,Blake Griffin,"PF,C",DET,72,34.0,0.45,0.76,2.4,24.4,7.7,5.5,0.7,0.4,3.3,3.48,2019-10-18 14:56:16
65,65,Hassan Whiteside,C,POR,69,28.0,0.54,0.61,0.0,14.0,11.6,1.0,0.7,2.3,1.6,3.34,2019-10-18 14:56:16
66,66,Jayson Tatum,"SF,PF",BOS,78,32.0,0.46,0.84,1.6,17.0,6.5,2.3,1.1,0.8,1.5,3.26,2019-10-18 14:56:16
67,67,Terry Rozier,"PG,SG",CHA,78,34.0,0.42,0.74,2.4,17.9,6.1,5.4,1.3,0.5,1.9,3.17,2019-10-18 14:56:16
68,68,Shai Gilgeous-Alexander,"PG,SG",OKC,78,32.0,0.48,0.81,1.1,15.8,3.6,4.7,1.5,0.6,2.1,3.12,2019-10-18 14:56:16
69,69,Marvin Bagley III,PF,SAC,73,31.0,0.51,0.73,0.6,20.2,10.3,1.5,0.6,1.3,2.0,2.89,2019-10-18 14:56:16
70,70,Larry Nance Jr,"PF,C",CLE,68,28.0,0.53,0.68,0.6,10.3,9.0,3.5,1.6,0.7,1.5,2.88,2019-10-18 14:56:16
71,71,Ricky Rubio,PG,PHO,70,28.0,0.42,0.86,1.3,12.4,3.8,8.4,1.4,0.1,2.6,2.79,2019-10-18 14:56:16
72,72,Ja Morant,PG,MEM,74,32.0,0.45,0.79,1.5,16.4,4.0,7.9,1.2,0.4,3.1,2.78,2019-10-18 14:56:16
73,73,Jonathan Isaac,"SF,PF",ORL,76,30.0,0.44,0.83,1.4,12.5,6.7,1.4,1.2,1.5,1.2,2.76,2019-10-18 14:56:16
74,74,Jamal Murray,"PG,SG",DEN,76,33.0,0.44,0.84,2.1,19.3,4.6,5.1,0.9,0.4,2.1,2.74,2019-10-18 14:56:16
75,75,Julius Randle,"PF,C",NYK,76,32.0,0.50,0.73,1.0,21.0,9.0,3.8,0.7,0.7,2.9,2.58,2019-10-18 14:56:16
76,76,Marcus Smart,"PG,SG",BOS,76,30.0,0.43,0.83,1.8,10.2,3.3,4.6,2.0,0.5,1.6,2.56,2019-10-18 14:56:16
77,77,Dewayne Dedmon,C,SAC,66,25.0,0.49,0.79,1.4,10.8,7.6,1.5,1.1,1.2,1.3,2.47,2019-10-18 14:56:16
78,78,Domantas Sabonis,"PF,C",IND,76,30.0,0.55,0.72,0.1,16.0,10.8,3.7,0.8,0.5,2.7,2.47,2019-10-18 14:56:16
79,79,Klay Thompson,"SG,SF",GSW,30,28.0,0.47,0.88,2.7,18.8,3.4,2.1,0.9,0.5,1.2,2.47,2019-10-18 14:56:16
80,80,Gordon Hayward,"SG,SF",BOS,72,30.0,0.47,0.84,1.3,15.1,5.5,4.4,0.9,0.4,1.7,2.45,2019-10-18 14:56:16
81,81,Miles Bridges,SF,CHA,79,32.0,0.48,0.74,1.3,16.4,6.3,1.9,1.1,1.0,0.9,2.38,2019-10-18 14:56:16
82,82,Kelly Oubre Jr,SF,PHO,72,28.0,0.44,0.76,1.9,16.9,4.9,1.5,1.5,0.9,1.5,2.35,2019-10-18 14:56:16
83,83,Jeremy Lamb,"SG,SF",IND,77,29.0,0.44,0.89,1.6,15.0,5.1,2.4,1.1,0.4,1.0,2.20,2019-10-18 14:56:16
84,84,Dwight Powell,"PF,C",DAL,76,26.0,0.60,0.76,0.6,13.5,6.7,1.9,0.7,0.9,1.1,2.16,2019-10-18 14:56:16
85,85,Kevon Looney,"PF,C",GSW,74,29.0,0.63,0.62,0.0,10.7,8.7,2.5,0.9,1.2,0.9,2.15,2019-10-18 14:56:16
86,86,Wendell Carter Jr,C,CHI,70,29.0,0.49,0.80,0.1,12.5,8.5,2.2,0.7,1.6,1.7,2.09,2019-10-18 14:56:16
87,87,Montrezl Harrell,"PF,C",LAC,78,28.0,0.62,0.64,0.0,16.4,6.9,2.2,1.0,1.5,1.7,2.06,2019-10-18 14:56:16
88,88,TJ Warren,"SF,PF",IND,66,30.0,0.49,0.79,1.6,16.1,4.0,1.5,1.1,0.7,1.1,1.98,2019-10-18 14:56:16
89,89,Delon Wright,"PG,SG",DAL,72,29.0,0.44,0.81,0.9,12.6,4.7,4.4,1.5,0.5,1.3,1.87,2019-10-18 14:56:16
90,90,Gary Harris,"SG,SF",DEN,66,30.0,0.47,0.81,2.0,16.6,3.1,2.4,1.4,0.3,1.3,1.84,2019-10-18 14:56:16
91,91,Fred VanVleet,PG,TOR,70,29.0,0.43,0.85,2.5,15.4,2.9,5.3,0.9,0.3,1.4,1.82,2019-10-18 14:56:16
92,92,JaVale McGee,C,LAL,76,24.0,0.62,0.65,0.0,11.3,7.4,0.8,0.6,1.9,1.5,1.74,2019-10-18 14:56:16
93,93,Aaron Gordon,"SF,PF",ORL,78,32.0,0.46,0.75,1.6,16.1,7.4,3.5,0.8,0.8,2.0,1.73,2019-10-18 14:56:16
94,94,Caris LeVert,"SG,SF",BKN,68,30.0,0.45,0.71,1.5,17.4,4.5,4.6,1.3,0.6,1.9,1.65,2019-10-18 14:56:16
95,95,Derrick White,"PG,SG",SAS,68,29.0,0.47,0.81,1.0,12.8,4.4,3.7,1.2,0.8,1.6,1.58,2019-10-18 14:56:16
96,96,Cody Zeller,"PF,C",CHA,64,26.0,0.56,0.81,0.1,11.0,7.2,2.3,0.8,1.0,1.2,1.49,2019-10-18 14:56:16
97,97,Steven Adams,C,OKC,78,33.0,0.58,0.51,0.0,14.4,11.3,1.7,1.5,1.0,1.7,1.34,2019-10-18 14:56:16
98,98,Danny Green,"SG,SF",LAL,74,28.0,0.46,0.83,2.7,11.1,4.2,1.7,0.9,0.7,0.9,1.34,2019-10-18 14:56:16
99,99,Mikal Bridges,"SG,SF",PHO,78,31.0,0.44,0.81,1.5,10.1,3.7,2.3,1.7,0.6,0.9,1.28,2019-10-18 14:56:16
100,100,Marc Gasol,C,TOR,74,25.0,0.45,0.78,1.1,11.6,6.7,3.8,0.9,0.9,1.0,1.18,2019-10-18 14:56:16
101,101,Enes Kanter,C,BOS,70,26.0,0.55,0.81,0.1,13.9,9.6,1.9,0.5,0.4,1.9,1.15,2019-10-18 14:56:16
102,102,Zach Collins,"PF,C",POR,74,29.0,0.47,0.75,1.2,12.7,7.3,1.6,0.5,1.6,1.6,1.15,2019-10-18 14:56:16
103,103,Jeff Teague,PG,MIN,68,30.0,0.42,0.79,0.8,12.7,2.6,8.6,1.0,0.4,2.3,1.14,2019-10-18 14:56:16
104,104,Kelly Olynyk,"PF,C",MIA,78,27.0,0.47,0.86,1.7,12.3,5.8,2.2,0.8,0.6,1.7,1.12,2019-10-18 14:56:16
105,105,Serge Ibaka,"PF,C",TOR,72,28.0,0.48,0.77,0.8,15.2,8.2,1.1,0.4,1.3,1.5,0.86,2019-10-18 14:56:16
106,106,Paul Millsap,"PF,C",DEN,66,26.0,0.49,0.72,0.8,12.8,7.3,2.0,1.2,0.8,1.3,0.84,2019-10-18 14:56:16
107,107,Terrence Ross,"SG,SF",ORL,74,26.0,0.43,0.89,2.8,15.6,3.5,1.8,0.9,0.4,1.1,0.83,2019-10-18 14:56:16
108,108,Lou Williams,"PG,SG",LAC,76,26.0,0.44,0.88,1.4,17.4,3.0,3.9,0.7,0.1,2.3,0.81,2019-10-18 14:56:16
109,109,DeAndre Jordan,C,BKN,76,25.0,0.63,0.71,0.0,9.7,10.5,2.0,0.5,1.0,1.9,0.73,2019-10-18 14:56:16
110,110,Nicolas Batum,"SG,SF",CHA,70,30.0,0.43,0.83,1.5,11.7,5.1,4.6,0.9,0.6,1.5,0.67,2019-10-18 14:56:16
111,111,Rudy Gay,"SF,PF",SAS,66,26.0,0.47,0.81,1.1,13.3,7.0,2.7,0.8,0.5,1.6,0.59,2019-10-18 14:56:16
112,112,Davis Bertans,"PF,C",WAS,74,28.0,0.45,0.91,2.6,11.0,4.8,1.8,0.7,0.5,0.8,0.49,2019-10-18 14:56:16
113,113,Alex Len,"PF,C",ATL,76,25.0,0.50,0.71,1.3,14.7,7.3,1.4,0.5,1.2,1.6,0.47,2019-10-18 14:56:16
114,114,Jarrett Allen,"PF,C",BKN,80,24.0,0.59,0.71,0.1,10.1,8.1,1.3,0.5,1.4,1.2,0.43,2019-10-18 14:56:16
115,115,Joe Ingles,"SG,SF",UTA,80,28.0,0.46,0.71,2.2,11.5,3.8,4.7,1.1,0.2,2.1,0.34,2019-10-18 14:56:16
116,116,JJ Redick,SG,NOP,72,27.0,0.44,0.90,3.0,15.5,2.3,2.4,0.3,0.2,1.1,0.30,2019-10-18 14:56:16
117,117,Taurean Prince,SF,BKN,76,28.0,0.44,0.82,2.3,14.1,4.0,2.2,1.0,0.3,1.8,0.29,2019-10-18 14:56:16
118,118,Kevin Huerter,SG,ATL,76,29.0,0.43,0.75,2.4,13.8,3.7,3.2,1.1,0.3,1.6,0.24,2019-10-18 14:56:16
119,119,Dejounte Murray,PG,SAS,68,28.0,0.46,0.72,0.1,13.0,6.3,4.0,1.4,0.5,2.2,0.21,2019-10-18 14:56:16
120,120,Thaddeus Young,"SF,PF",CHI,74,26.0,0.53,0.67,0.5,11.3,5.8,2.2,1.3,0.4,1.3,0.18,2019-10-18 14:56:16
121,121,Brandon Clarke,PF,MEM,70,22.0,0.53,0.74,0.2,10.6,6.0,1.4,0.7,1.5,0.9,0.15,2019-10-18 14:56:16
122,122,Robert Williams,PF,BOS,68,16.0,0.73,0.67,0.0,5.0,4.8,0.4,0.5,2.4,0.5,0.14,2019-10-18 14:56:16
123,123,Jerami Grant,"SF,PF",DEN,76,29.0,0.50,0.73,1.3,12.7,4.8,0.9,0.7,1.2,0.7,0.12,2019-10-18 14:56:16
124,124,Maxi Kleber,PF,DAL,70,25.0,0.46,0.83,1.4,8.6,5.8,1.2,0.6,1.4,0.9,0.10,2019-10-18 14:56:16
125,125,Bogdan Bogdanovic,"SG,SF",SAC,74,27.0,0.42,0.83,1.9,13.6,3.6,3.9,1.0,0.2,1.7,0.07,2019-10-18 14:56:16
126,126,Tomas Satoransky,"PG,SG",CHI,76,27.0,0.47,0.81,0.8,11.4,3.7,5.3,1.0,0.2,1.5,0.06,2019-10-18 14:56:16
127,127,Bojan Bogdanovic,"SG,SF",UTA,78,30.0,0.49,0.79,2.0,15.7,4.1,2.0,0.8,0.0,1.6,0.05,2019-10-18 14:56:16
128,128,Patrick Beverley,"PG,SG",LAC,75,30.0,0.43,0.78,1.6,8.8,4.1,4.3,1.0,0.7,1.2,0.02,2019-10-18 14:56:16
129,129,Joe Harris,"SG,SF",BKN,76,30.0,0.49,0.79,2.5,14.2,4.0,2.5,0.5,0.2,1.6,0.02,2019-10-18 14:56:16
130,130,DJ Augustin,PG,ORL,78,28.0,0.47,0.85,1.7,12.2,2.6,5.6,0.6,0.0,1.6,-0.02,2019-10-18 14:56:16
131,131,Kent Bazemore,"SG,SF",POR,70,28.0,0.42,0.72,1.7,13.3,4.3,2.5,1.4,0.7,1.9,-0.03,2019-10-18 14:56:16
132,132,Goran Dragic,"PG,SG",MIA,68,28.0,0.45,0.80,1.7,14.8,3.3,5.1,0.8,0.1,2.0,-0.06,2019-10-18 14:56:16
133,133,Kyle Anderson,"SG,SF",MEM,70,26.0,0.54,0.67,0.2,7.5,5.3,2.7,1.1,0.8,1.1,-0.18,2019-10-18 14:56:16
134,134,Evan Fournier,"SG,SF",ORL,78,31.0,0.44,0.82,2.0,15.8,3.3,3.7,0.9,0.1,1.9,-0.20,2019-10-18 14:56:16
135,135,Collin Sexton,PG,CLE,80,33.0,0.44,0.82,1.8,18.5,3.2,4.2,0.5,0.1,2.4,-0.22,2019-10-18 14:56:16
136,136,Justise Winslow,PF,MIA,70,31.0,0.44,0.61,1.6,13.9,5.9,4.7,1.1,0.3,2.3,-0.29,2019-10-18 14:56:16
137,137,Eric Gordon,SG,HOU,70,30.0,0.43,0.82,3.2,16.2,2.2,1.9,0.6,0.4,1.2,-0.31,2019-10-18 14:56:16
138,138,Spencer Dinwiddie,PG,BKN,72,26.0,0.44,0.80,1.8,15.5,2.4,4.5,0.6,0.3,2.0,-0.37,2019-10-18 14:56:16
139,139,Andrew Wiggins,"SG,SF",MIN,70,32.0,0.45,0.71,1.5,17.5,4.6,2.4,0.9,0.7,1.7,-0.39,2019-10-18 14:56:16
140,140,Nerlens Noel,"PF,C",OKC,78,16.0,0.59,0.75,0.0,6.0,5.2,0.7,1.1,1.5,0.7,-0.42,2019-10-18 14:56:16
141,141,Harrison Barnes,"SF,PF",SAC,74,32.0,0.42,0.84,2.4,16.9,4.7,1.5,0.6,0.2,1.3,-0.44,2019-10-18 14:56:16
142,142,Jarrett Culver,SF,MIN,72,28.0,0.44,0.72,1.5,12.9,5.1,3.2,1.3,0.3,1.8,-0.49,2019-10-18 14:56:16
143,143,Reggie Jackson,"PG,SG",DET,74,26.0,0.42,0.89,2.1,15.1,2.5,4.1,0.7,0.1,1.7,-0.50,2019-10-18 14:56:16
144,144,Dario Saric,"PF,C",PHO,72,28.0,0.45,0.86,1.8,12.6,6.6,1.9,0.7,0.1,1.3,-0.50,2019-10-18 14:56:16
145,145,Tim Hardaway Jr,"SG,SF",DAL,66,28.0,0.41,0.87,2.3,16.9,3.2,2.2,0.7,0.1,1.4,-0.50,2019-10-18 14:56:16
146,146,PJ Tucker,"SF,PF",HOU,80,32.0,0.40,0.71,1.8,7.2,5.8,1.2,1.5,0.5,0.7,-0.52,2019-10-18 14:56:16
147,147,Ivica Zubac,C,LAC,68,23.0,0.53,0.76,0.0,10.1,8.2,1.5,0.4,1.0,1.6,-0.54,2019-10-18 14:56:16
148,148,De'Andre Hunter,SF,ATL,72,30.0,0.46,0.75,1.6,12.1,4.6,2.2,1.1,0.3,1.3,-0.55,2019-10-18 14:56:16
149,149,JaMychal Green,"PF,C",LAC,68,24.0,0.49,0.74,1.3,10.2,7.0,1.0,0.8,0.6,1.5,-0.60,2019-10-18 14:56:16
150,150,Brandon Ingram,"SG,SF",NOP,60,31.0,0.49,0.69,0.6,17.4,5.4,3.3,0.8,0.9,2.3,-0.64,2019-10-18 14:56:16
151,151,Jakob Poeltl,C,SAS,70,23.0,0.63,0.50,0.0,7.9,8.3,1.8,0.6,1.3,0.8,-0.64,2019-10-18 14:56:16
152,152,Norman Powell,"SG,SF",TOR,68,26.0,0.48,0.79,1.6,12.4,3.5,2.2,1.0,0.3,1.5,-0.66,2019-10-18 14:56:16
153,153,RJ Barrett,SF,NYK,72,30.0,0.44,0.73,2.1,16.4,5.3,3.3,0.8,0.3,2.0,-0.70,2019-10-18 14:56:16
154,154,Moe Harkless,SF,LAC,66,26.0,0.48,0.69,1.0,9.3,5.1,1.4,1.0,0.9,0.9,-0.72,2019-10-18 14:56:16
155,155,Kyle Kuzma,"SF,PF",LAL,76,29.0,0.46,0.76,1.7,17.3,5.1,2.3,0.5,0.4,1.7,-0.75,2019-10-18 14:56:16
156,156,Derrick Rose,PG,DET,56,26.0,0.44,0.87,1.1,14.7,2.7,4.3,0.6,0.2,1.5,-0.76,2019-10-18 14:56:16
157,157,Danuel House Jr,SG,HOU,70,28.0,0.47,0.78,2.2,11.7,4.5,1.3,0.6,0.4,1.1,-0.83,2019-10-18 14:56:16
158,158,Darius Garland,PG,CLE,70,30.0,0.46,0.80,2.1,15.1,3.6,2.9,0.8,0.1,2.3,-0.87,2019-10-18 14:56:16
159,159,James Johnson,"SF,PF",MIA,70,28.0,0.46,0.72,1.3,10.9,4.4,3.5,0.8,0.7,1.7,-0.92,2019-10-18 14:56:16
160,160,Cedi Osman,"SF,PF",CLE,76,32.0,0.44,0.77,1.8,13.6,4.9,2.7,0.8,0.1,1.5,-0.92,2019-10-18 14:56:16
161,161,Marvin Williams,"SF,PF",CHA,75,25.0,0.43,0.80,1.8,9.5,5.0,1.1,0.8,0.7,0.5,-0.93,2019-10-18 14:56:16
162,162,Seth Curry,"PG,SG",DAL,72,28.0,0.46,0.82,2.3,12.3,2.6,1.4,0.7,0.3,1.2,-0.93,2019-10-18 14:56:16
163,163,Jaylen Brown,"SG,SF",BOS,72,29.0,0.47,0.66,1.5,15.5,4.9,1.6,1.0,0.5,1.5,-1.00,2019-10-18 14:56:16
164,164,Tyus Jones,PG,MEM,74,24.0,0.44,0.91,0.7,8.0,2.1,5.1,1.3,0.1,0.7,-1.04,2019-10-18 14:56:16
165,165,Malik Monk,SG,CHA,74,25.0,0.41,0.86,2.3,12.9,2.7,2.4,0.7,0.5,1.7,-1.07,2019-10-18 14:56:16
166,166,Wesley Matthews,"SG,SF",MIL,66,28.0,0.44,0.83,2.4,14.1,2.4,2.2,0.7,0.2,1.2,-1.08,2019-10-18 14:56:16
167,167,Rodions Kurucs,SF,BKN,76,25.0,0.46,0.83,1.3,11.9,4.8,1.0,0.9,0.6,1.4,-1.13,2019-10-18 14:56:16
168,168,Rui Hachimura,PF,WAS,72,30.0,0.47,0.74,0.5,13.7,5.7,1.7,1.0,0.7,1.5,-1.14,2019-10-18 14:56:16
169,169,Dwayne Bacon,SG,CHA,60,30.0,0.47,0.70,1.6,16.1,3.8,2.0,0.7,0.2,0.7,-1.16,2019-10-18 14:56:16
170,170,Elfrid Payton,PG,NYK,70,26.0,0.44,0.75,0.7,9.8,4.2,6.0,0.9,0.4,2.4,-1.28,2019-10-18 14:56:16
171,171,Marcus Morris,"SF,PF",NYK,68,26.0,0.42,0.83,1.9,12.8,6.0,1.5,0.6,0.3,1.1,-1.42,2019-10-18 14:56:16
